mdate,domestic,foreign,incidental
2021-01-01,3,2,34
2021-02-01,3,2,38
2021-03-01,4,0,33
2021-04-01,1,1,26
2021-05-01,3,0,17
2021-06-01,5,2,17
2021-07-01,0,0,14
2021-08-01,2,0,30
2021-09-01,3,0,21
2021-10-01,6,1,43
2021-11-01,4,0,41
2021-12-01,6,0,42
2022-01-01,12,4,103
2022-02-01,38,3,50
2022-03-01,14,2,64
2022-04-01,33,17,76
2022-05-01,14,7,84
2022-06-01,10,10,90
2022-07-01,9,0,45
2022-08-01,38,11,58
2022-09-01,7,4,100
2022-10-01,27,6,77
2022-11-01,9,6,63
2022-12-01,76,2,108
2023-01-01,34,4,51
2023-02-01,10,8,36
2023-03-01,15,10,63
2023-04-01,32,9,68
2023-05-01,6,1,52
2023-06-01,3,1,40
2023-07-01,3,1,20
2023-08-01,20,6,41
2023-09-01,6,2,31
2023-10-01,7,1,46
2023-11-01,6,0,43
2023-12-01,36,4,46
2024-01-01,5,1,19
2024-06-01,66,2,36
2024-07-01,8,3,162
2024-08-01,6,9,96
2024-09-01,11,1,62
2024-10-01,12,3,167
2024-11-01,19,5,197
2024-12-01,25,12,247
2025-01-01,21,5,163
2025-02-01,15,10,238
2025-03-01,27,5,192
2025-04-01,27,14,108
2025-05-01,9,2,108
2025-06-01,17,11,141
2025-07-01,20,4,156
2025-08-01,22,5,115
2025-09-01,10,1,105
2025-10-01,23,5,208
2025-11-01,22,1,197
2025-12-01,44,13,255
2026-01-01,59,35,319
2026-02-01,21,3,194
2026-03-01,21,19,436
2026-04-01,33,24,381
2026-05-01,35,21,359
2026-06-01,20,6,97
