month,n_total,n_infl,share_pct
2021-01,12860,41,0.319
2021-02,7077,43,0.608
2021-03,7185,39,0.543
2021-04,7027,28,0.398
2021-05,6502,20,0.308
2021-06,6255,24,0.384
2021-07,6153,17,0.276
2021-08,6828,32,0.469
2021-09,6408,24,0.375
2021-10,7241,52,0.718
2021-11,8174,45,0.551
2021-12,8678,49,0.565
2022-01,7552,119,1.576
2022-02,6226,92,1.478
2022-03,7265,83,1.142
2022-04,8857,144,1.626
2022-05,7350,106,1.442
2022-06,6943,112,1.613
2022-07,5191,57,1.098
2022-08,6709,112,1.669
2022-09,6164,111,1.801
2022-10,7405,110,1.485
2022-11,6880,79,1.148
2022-12,7993,187,2.34
2023-01,7136,90,1.261
2023-02,6318,55,0.871
2023-03,7427,88,1.185
2023-04,8427,109,1.293
2023-05,6550,59,0.901
2023-06,7069,45,0.637
2023-07,4970,24,0.483
2023-08,6862,67,0.976
2023-09,6634,41,0.618
2023-10,6950,54,0.777
2023-11,6758,49,0.725
2023-12,8735,86,0.985
2024-01,1911,25,1.308
2024-06,8477,106,1.25
2024-07,17291,173,1.001
2024-08,17194,112,0.651
2024-09,8458,79,0.934
2024-10,17725,182,1.027
2024-11,19771,221,1.118
2024-12,23404,284,1.213
2025-01,15399,189,1.227
2025-02,19263,263,1.365
2025-03,20397,226,1.108
2025-04,26155,150,0.574
2025-05,19476,119,0.611
2025-06,19672,173,0.879
2025-07,19082,180,0.943
2025-08,19565,142,0.726
2025-09,10381,116,1.117
2025-10,21763,240,1.103
2025-11,21652,225,1.039
2025-12,23361,312,1.336
2026-01,16433,415,2.525
2026-02,16165,220,1.361
2026-03,19670,476,2.42
2026-04,20597,443,2.151
2026-05,20471,418,2.042
2026-06,7815,123,1.574
