month,grp,n,infl,share,mdate
2021-01,Katolički mediji,1975,2,0.101,2021-01-01
2021-02,Katolički mediji,1674,0,0,2021-02-01
2021-03,Katolički mediji,1674,2,0.119,2021-03-01
2021-04,Katolički mediji,1329,1,0.075,2021-04-01
2021-05,Katolički mediji,1527,2,0.131,2021-05-01
2021-06,Katolički mediji,1653,0,0,2021-06-01
2021-07,Katolički mediji,1578,1,0.063,2021-07-01
2021-08,Katolički mediji,1439,0,0,2021-08-01
2021-09,Katolički mediji,1760,2,0.114,2021-09-01
2021-10,Katolički mediji,1991,3,0.151,2021-10-01
2021-11,Katolički mediji,1941,2,0.103,2021-11-01
2021-12,Katolički mediji,1965,1,0.051,2021-12-01
2022-01,Katolički mediji,1765,3,0.17,2022-01-01
2022-02,Katolički mediji,1596,10,0.627,2022-02-01
2022-03,Katolički mediji,2139,8,0.374,2022-03-01
2022-04,Katolički mediji,2097,8,0.381,2022-04-01
2022-05,Katolički mediji,1846,7,0.379,2022-05-01
2022-06,Katolički mediji,1906,8,0.42,2022-06-01
2022-07,Katolički mediji,1389,1,0.072,2022-07-01
2022-08,Katolički mediji,1497,7,0.468,2022-08-01
2022-09,Katolički mediji,1556,5,0.321,2022-09-01
2022-10,Katolički mediji,2049,3,0.146,2022-10-01
2022-11,Katolički mediji,1699,3,0.177,2022-11-01
2022-12,Katolički mediji,1851,20,1.08,2022-12-01
2023-01,Katolički mediji,1799,8,0.445,2023-01-01
2023-02,Katolički mediji,1739,3,0.173,2023-02-01
2023-03,Katolički mediji,1867,4,0.214,2023-03-01
2023-04,Katolički mediji,1731,4,0.231,2023-04-01
2023-05,Katolički mediji,1647,1,0.061,2023-05-01
2023-06,Katolički mediji,1733,1,0.058,2023-06-01
2023-07,Katolički mediji,1391,0,0,2023-07-01
2023-08,Katolički mediji,1475,5,0.339,2023-08-01
2023-09,Katolički mediji,1765,9,0.51,2023-09-01
2023-10,Katolički mediji,1874,0,0,2023-10-01
2023-11,Katolički mediji,1685,2,0.119,2023-11-01
2023-12,Katolički mediji,1812,5,0.276,2023-12-01
2024-01,Katolički mediji,392,0,0,2024-01-01
2024-06,Katolički mediji,1965,5,0.254,2024-06-01
2024-07,Katolički mediji,2534,2,0.079,2024-07-01
2024-08,Katolički mediji,2420,2,0.083,2024-08-01
2024-09,Katolički mediji,1468,3,0.204,2024-09-01
2024-10,Katolički mediji,2863,1,0.035,2024-10-01
2024-11,Katolički mediji,2734,3,0.11,2024-11-01
2024-12,Katolički mediji,3069,4,0.13,2024-12-01
2025-01,Katolički mediji,2194,4,0.182,2025-01-01
2025-02,Katolički mediji,2658,2,0.075,2025-02-01
2025-03,Katolički mediji,2946,5,0.17,2025-03-01
2025-04,Katolički mediji,2565,0,0,2025-04-01
2025-05,Katolički mediji,2206,2,0.091,2025-05-01
2025-06,Katolički mediji,2448,4,0.163,2025-06-01
2025-07,Katolički mediji,2076,8,0.385,2025-07-01
2025-08,Katolički mediji,2313,8,0.346,2025-08-01
2025-09,Katolički mediji,1340,2,0.149,2025-09-01
2025-10,Katolički mediji,2884,1,0.035,2025-10-01
2025-11,Katolički mediji,2682,3,0.112,2025-11-01
2025-12,Katolički mediji,2609,2,0.077,2025-12-01
2026-01,Katolički mediji,1932,5,0.259,2026-01-01
2026-02,Katolički mediji,2004,3,0.15,2026-02-01
2026-03,Katolički mediji,2511,1,0.04,2026-03-01
2026-04,Katolički mediji,2154,4,0.186,2026-04-01
2026-05,Katolički mediji,2290,2,0.087,2026-05-01
2026-06,Katolički mediji,841,0,0,2026-06-01
2021-01,Ostali (sekularni) mediji,10885,39,0.358,2021-01-01
2021-02,Ostali (sekularni) mediji,5403,43,0.796,2021-02-01
2021-03,Ostali (sekularni) mediji,5511,37,0.671,2021-03-01
2021-04,Ostali (sekularni) mediji,5698,27,0.474,2021-04-01
2021-05,Ostali (sekularni) mediji,4975,18,0.362,2021-05-01
2021-06,Ostali (sekularni) mediji,4602,24,0.522,2021-06-01
2021-07,Ostali (sekularni) mediji,4575,16,0.35,2021-07-01
2021-08,Ostali (sekularni) mediji,5389,32,0.594,2021-08-01
2021-09,Ostali (sekularni) mediji,4648,22,0.473,2021-09-01
2021-10,Ostali (sekularni) mediji,5250,49,0.933,2021-10-01
2021-11,Ostali (sekularni) mediji,6233,43,0.69,2021-11-01
2021-12,Ostali (sekularni) mediji,6713,48,0.715,2021-12-01
2022-01,Ostali (sekularni) mediji,5787,116,2.004,2022-01-01
2022-02,Ostali (sekularni) mediji,4630,82,1.771,2022-02-01
2022-03,Ostali (sekularni) mediji,5126,75,1.463,2022-03-01
2022-04,Ostali (sekularni) mediji,6760,136,2.012,2022-04-01
2022-05,Ostali (sekularni) mediji,5504,99,1.799,2022-05-01
2022-06,Ostali (sekularni) mediji,5037,104,2.065,2022-06-01
2022-07,Ostali (sekularni) mediji,3802,56,1.473,2022-07-01
2022-08,Ostali (sekularni) mediji,5212,105,2.015,2022-08-01
2022-09,Ostali (sekularni) mediji,4608,106,2.3,2022-09-01
2022-10,Ostali (sekularni) mediji,5356,107,1.998,2022-10-01
2022-11,Ostali (sekularni) mediji,5181,76,1.467,2022-11-01
2022-12,Ostali (sekularni) mediji,6142,167,2.719,2022-12-01
2023-01,Ostali (sekularni) mediji,5337,82,1.536,2023-01-01
2023-02,Ostali (sekularni) mediji,4579,52,1.136,2023-02-01
2023-03,Ostali (sekularni) mediji,5560,84,1.511,2023-03-01
2023-04,Ostali (sekularni) mediji,6696,105,1.568,2023-04-01
2023-05,Ostali (sekularni) mediji,4903,58,1.183,2023-05-01
2023-06,Ostali (sekularni) mediji,5336,44,0.825,2023-06-01
2023-07,Ostali (sekularni) mediji,3579,24,0.671,2023-07-01
2023-08,Ostali (sekularni) mediji,5387,62,1.151,2023-08-01
2023-09,Ostali (sekularni) mediji,4869,32,0.657,2023-09-01
2023-10,Ostali (sekularni) mediji,5076,54,1.064,2023-10-01
2023-11,Ostali (sekularni) mediji,5073,47,0.926,2023-11-01
2023-12,Ostali (sekularni) mediji,6923,81,1.17,2023-12-01
2024-01,Ostali (sekularni) mediji,1519,25,1.646,2024-01-01
2024-06,Ostali (sekularni) mediji,6512,101,1.551,2024-06-01
2024-07,Ostali (sekularni) mediji,14757,171,1.159,2024-07-01
2024-08,Ostali (sekularni) mediji,14774,110,0.745,2024-08-01
2024-09,Ostali (sekularni) mediji,6990,76,1.087,2024-09-01
2024-10,Ostali (sekularni) mediji,14862,181,1.218,2024-10-01
2024-11,Ostali (sekularni) mediji,17037,218,1.28,2024-11-01
2024-12,Ostali (sekularni) mediji,20335,280,1.377,2024-12-01
2025-01,Ostali (sekularni) mediji,13205,185,1.401,2025-01-01
2025-02,Ostali (sekularni) mediji,16605,261,1.572,2025-02-01
2025-03,Ostali (sekularni) mediji,17451,221,1.266,2025-03-01
2025-04,Ostali (sekularni) mediji,23590,150,0.636,2025-04-01
2025-05,Ostali (sekularni) mediji,17270,117,0.677,2025-05-01
2025-06,Ostali (sekularni) mediji,17224,169,0.981,2025-06-01
2025-07,Ostali (sekularni) mediji,17006,172,1.011,2025-07-01
2025-08,Ostali (sekularni) mediji,17252,134,0.777,2025-08-01
2025-09,Ostali (sekularni) mediji,9041,114,1.261,2025-09-01
2025-10,Ostali (sekularni) mediji,18879,239,1.266,2025-10-01
2025-11,Ostali (sekularni) mediji,18970,222,1.17,2025-11-01
2025-12,Ostali (sekularni) mediji,20752,310,1.494,2025-12-01
2026-01,Ostali (sekularni) mediji,14501,410,2.827,2026-01-01
2026-02,Ostali (sekularni) mediji,14161,217,1.532,2026-02-01
2026-03,Ostali (sekularni) mediji,17159,475,2.768,2026-03-01
2026-04,Ostali (sekularni) mediji,18443,439,2.38,2026-04-01
2026-05,Ostali (sekularni) mediji,18181,416,2.288,2026-05-01
2026-06,Ostali (sekularni) mediji,6974,123,1.764,2026-06-01
